"id","name","geo_id"
1,"Aberdeen, SD Micro Area","10100"
2,"Aberdeen, WA Micro Area","10140"
3,"Abilene, TX Metro Area","10180"
4,"Ada, OK Micro Area","10220"
5,"Adrian, MI Micro Area","10300"
6,"Aguadilla-Isabela, PR Metro Area","10380"
7,"Akron, OH Metro Area","10420"
8,"Alamogordo, NM Micro Area","10460"
9,"Albany, GA Metro Area","10500"
10,"Albany-Lebanon, OR Metro Area","10540"
11,"Albany-Schenectady-Troy, NY Metro Area","10580"
12,"Albemarle, NC Micro Area","10620"
13,"Albert Lea, MN Micro Area","10660"
14,"Albertville, AL Micro Area","10700"
15,"Albuquerque, NM Metro Area","10740"
16,"Alexander City, AL Micro Area","10760"
17,"Alexandria, LA Metro Area","10780"
18,"Alexandria, MN Micro Area","10820"
19,"Alice, TX Micro Area","10860"
20,"Allentown-Bethlehem-Easton, PA-NJ Metro Area","10900"
21,"Alma, MI Micro Area","10940"
22,"Alpena, MI Micro Area","10980"
23,"Altoona, PA Metro Area","11020"
24,"Altus, OK Micro Area","11060"
25,"Amarillo, TX Metro Area","11100"
26,"Americus, GA Micro Area","11140"
27,"Ames, IA Metro Area","11180"
28,"Amsterdam, NY Micro Area","11220"
29,"Anchorage, AK Metro Area","11260"
30,"Andrews, TX Micro Area","11380"
31,"Angola, IN Micro Area","11420"
32,"Ann Arbor, MI Metro Area","11460"
33,"Anniston-Oxford, AL Metro Area","11500"
34,"Appleton, WI Metro Area","11540"
35,"Arcadia, FL Micro Area","11580"
36,"Ardmore, OK Micro Area","11620"
37,"Arecibo, PR Metro Area","11640"
38,"Arkadelphia, AR Micro Area","11660"
39,"Asheville, NC Metro Area","11700"
40,"Ashland, OH Micro Area","11740"
41,"Ashtabula, OH Micro Area","11780"
42,"Astoria, OR Micro Area","11820"
43,"Atchison, KS Micro Area","11860"
44,"Athens, OH Micro Area","11900"
45,"Athens, TN Micro Area","11940"
46,"Athens, TX Micro Area","11980"
47,"Athens-Clarke County, GA Metro Area","12020"
48,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","12060"
49,"Atlantic City-Hammonton, NJ Metro Area","12100"
50,"Atmore, AL Micro Area","12120"
51,"Auburn, IN Micro Area","12140"
52,"Auburn, NY Micro Area","12180"
53,"Auburn-Opelika, AL Metro Area","12220"
54,"Augusta-Richmond County, GA-SC Metro Area","12260"
55,"Augusta-Waterville, ME Micro Area","12300"
56,"Austin, MN Micro Area","12380"
57,"Austin-Round Rock-Georgetown, TX Metro Area","12420"
58,"Bainbridge, GA Micro Area","12460"
59,"Bakersfield, CA Metro Area","12540"
60,"Baltimore-Columbia-Towson, MD Metro Area","12580"
61,"Bangor, ME Metro Area","12620"
62,"Baraboo, WI Micro Area","12660"
63,"Bardstown, KY Micro Area","12680"
64,"Barnstable Town, MA Metro Area","12700"
65,"Barre, VT Micro Area","12740"
66,"Bartlesville, OK Micro Area","12780"
67,"Batavia, NY Micro Area","12860"
68,"Batesville, AR Micro Area","12900"
69,"Baton Rouge, LA Metro Area","12940"
70,"Battle Creek, MI Metro Area","12980"
71,"Bay City, MI Metro Area","13020"
72,"Bay City, TX Micro Area","13060"
73,"Beatrice, NE Micro Area","13100"
74,"Beaumont-Port Arthur, TX Metro Area","13140"
75,"Beaver Dam, WI Micro Area","13180"
76,"Beckley, WV Metro Area","13220"
77,"Bedford, IN Micro Area","13260"
78,"Beeville, TX Micro Area","13300"
79,"Bellefontaine, OH Micro Area","13340"
80,"Bellingham, WA Metro Area","13380"
81,"Bemidji, MN Micro Area","13420"
82,"Bend, OR Metro Area","13460"
83,"Bennettsville, SC Micro Area","13500"
84,"Bennington, VT Micro Area","13540"
85,"Berlin, NH Micro Area","13620"
86,"Big Rapids, MI Micro Area","13660"
87,"Big Spring, TX Micro Area","13700"
88,"Big Stone Gap, VA Micro Area","13720"
89,"Billings, MT Metro Area","13740"
90,"Binghamton, NY Metro Area","13780"
91,"Birmingham-Hoover, AL Metro Area","13820"
92,"Bismarck, ND Metro Area","13900"
93,"Blackfoot, ID Micro Area","13940"
94,"Blacksburg-Christiansburg, VA Metro Area","13980"
95,"Bloomington, IL Metro Area","14010"
96,"Bloomington, IN Metro Area","14020"
97,"Bloomsburg-Berwick, PA Metro Area","14100"
98,"Bluefield, WV-VA Micro Area","14140"
99,"Bluffton, IN Micro Area","14160"
100,"Blytheville, AR Micro Area","14180"
101,"Bogalusa, LA Micro Area","14220"
102,"Boise City, ID Metro Area","14260"
103,"Bonham, TX Micro Area","14300"
104,"Boone, NC Micro Area","14380"
105,"Borger, TX Micro Area","14420"
106,"Boston-Cambridge-Newton, MA-NH Metro Area","14460"
107,"Boulder, CO Metro Area","14500"
108,"Bowling Green, KY Metro Area","14540"
109,"Bozeman, MT Micro Area","14580"
110,"Bradford, PA Micro Area","14620"
111,"Brainerd, MN Micro Area","14660"
112,"Branson, MO Micro Area","14700"
113,"Breckenridge, CO Micro Area","14720"
114,"Bremerton-Silverdale-Port Orchard, WA Metro Area","14740"
115,"Brenham, TX Micro Area","14780"
116,"Brevard, NC Micro Area","14820"
117,"Bridgeport-Stamford-Norwalk, CT Metro Area","14860"
118,"Brookhaven, MS Micro Area","15020"
119,"Brookings, OR Micro Area","15060"
120,"Brookings, SD Micro Area","15100"
121,"Brownsville, TN Micro Area","15140"
122,"Brownsville-Harlingen, TX Metro Area","15180"
123,"Brownwood, TX Micro Area","15220"
124,"Brunswick, GA Metro Area","15260"
125,"Bucyrus-Galion, OH Micro Area","15340"
126,"Buffalo-Cheektowaga, NY Metro Area","15380"
127,"Burley, ID Micro Area","15420"
